0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:41:53 +0530] "POST /Paper_inventory/SavePurchase.jsp HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:41:54 +0530] "GET /Paper_inventory/Purchase_order.jsp HTTP/1.1" 200 7220
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:42:30 +0530] "GET /Paper_inventory/Purchase_order.jsp HTTP/1.1" 200 7220
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:42:54 +0530] "GET /Paper_inventory/NewFile.jsp HTTP/1.1" 200 11252
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:43:12 +0530] "POST /Paper_inventory/SavePurchase.jsp HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:43:14 +0530] "GET /Paper_inventory/Purchase_order.jsp HTTP/1.1" 200 7220
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:44:20 +0530] "GET /Paper_inventory/Purchase_order.jsp HTTP/1.1" 200 7220
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:44:31 +0530] "GET /Paper_inventory/Purchase_order.jsp HTTP/1.1" 200 7220
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:44:46 +0530] "GET /Paper_inventory/NewFile.jsp HTTP/1.1" 200 11252
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:45:11 +0530] "POST /Paper_inventory/SavePurchase.jsp HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:45:12 +0530] "GET /Paper_inventory/Purchase_order.jsp HTTP/1.1" 200 7220
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:46:20 +0530] "GET /Paper_inventory/Purchase_order.jsp HTTP/1.1" 200 7220
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:46:21 +0530] "GET /Paper_inventory/Purchase_order.jsp HTTP/1.1" 200 7220
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:46:35 +0530] "GET /Paper_inventory/NewFile.jsp HTTP/1.1" 200 11325
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:47:03 +0530] "GET /Paper_inventory/NewFile.jsp HTTP/1.1" 200 11252
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:48:24 +0530] "GET /Paper_inventory/NewFile.jsp HTTP/1.1" 200 14127
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:48:44 +0530] "GET /Paper_inventory/NewFile.jsp HTTP/1.1" 200 14127
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:48:45 +0530] "GET /Paper_inventory/NewFile.jsp HTTP/1.1" 200 14127
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:48:47 +0530] "GET /Paper_inventory/Product.jsp HTTP/1.1" 200 14710
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:48:49 +0530] "GET /Paper_inventory/Retailer.jsp HTTP/1.1" 200 24528
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:48:51 +0530] "GET /Paper_inventory/Order.jsp HTTP/1.1" 200 20142
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:48:53 +0530] "GET /Paper_inventory/Billing.jsp HTTP/1.1" 200 12609
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:49:17 +0530] "GET /Paper_inventory/Home.jsp HTTP/1.1" 200 11745
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:49:17 +0530] "GET /Paper_inventory/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:49:18 +0530] "GET /Paper_inventory/Home.jsp HTTP/1.1" 200 11745
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:49:18 +0530] "GET /Paper_inventory/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:49:34 +0530] "GET /Paper_inventory/Home.jsp HTTP/1.1" 200 11745
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:49:34 +0530] "GET /Paper_inventory/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:49:35 +0530] "GET /Paper_inventory/Home.jsp HTTP/1.1" 200 11745
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:49:35 +0530] "GET /Paper_inventory/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:49:36 +0530] "GET /Paper_inventory/Home.jsp HTTP/1.1" 200 11745
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:49:36 +0530] "GET /Paper_inventory/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:53:34 +0530] "GET /Paper_inventory/Home.jsp HTTP/1.1" 200 11763
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:53:34 +0530] "GET /Paper_inventory/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:55:14 +0530] "GET /Paper_inventory/Home.jsp HTTP/1.1" 200 15452
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:55:14 +0530] "GET /Paper_inventory/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:56:48 +0530] "GET /Paper_inventory/Home.jsp HTTP/1.1" 200 15711
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:56:48 +0530] "GET /Paper_inventory/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:58:26 +0530] "GET /Paper_inventory/Home.jsp HTTP/1.1" 200 15711
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:58:26 +0530] "GET /Paper_inventory/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:58:42 +0530] "GET /Paper_inventory/Product.jsp HTTP/1.1" 200 14728
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:58:53 +0530] "GET /Paper_inventory/Home.jsp HTTP/1.1" 200 15711
0:0:0:0:0:0:0:1 - - [04/Jun/2025:19:58:53 +0530] "GET /Paper_inventory/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [04/Jun/2025:20:00:45 +0530] "GET /Paper_inventory/Home.jsp HTTP/1.1" 200 16053
0:0:0:0:0:0:0:1 - - [04/Jun/2025:20:00:45 +0530] "GET /Paper_inventory/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [04/Jun/2025:20:01:32 +0530] "GET /Paper_inventory/Home.jsp HTTP/1.1" 200 14358
0:0:0:0:0:0:0:1 - - [04/Jun/2025:20:01:32 +0530] "GET /Paper_inventory/styles.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [04/Jun/2025:20:02:27 +0530] "GET /Paper_inventory/Home.jsp HTTP/1.1" 200 15716
0:0:0:0:0:0:0:1 - - [04/Jun/2025:20:02:27 +0530] "GET /Paper_inventory/styles.css HTTP/1.1" 404 782
